"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"87","BOL_AUS","BOL","AUS",2005,68,36,91,0,0,0,13045.96,0,1,0,40542.4981461435,4640.1946284521,20178543,9232301
"88","BOL_AUS","BOL","AUS",2010,68,36,95,0,0,0,13045.96,0,1,0,42588.4509885439,5344.4248066966,22154687,10048597
"89","BOL_AUS","BOL","AUS",2015,68,36,107,0,0,0,13045.96,0,1,0,45369.3103353939,6455.33103813547,23932499,10869732
"90","BOL_AUS","BOL","AUS",2020,68,36,65,0,0,0,13045.96,0,1,0,46255.9119868882,6415.83801396448,25499881,11673029
"91","BRA_AUS","BRA","AUS",2000,76,36,178,0,0,0,13371.76,0,0,0,36510.1629185009,11282.1437378857,18991434,174790339
"92","BRA_AUS","BRA","AUS",2005,76,36,1735,0,0,0,13371.76,0,0,0,40542.4981461435,12216.3996942779,20178543,186127108
"93","BRA_AUS","BRA","AUS",2010,76,36,4125,0,0,0,13371.76,0,0,0,42588.4509885439,14487.6358069117,22154687,195713637
"94","BRA_AUS","BRA","AUS",2015,76,36,6090,0,0,0,13371.76,0,0,0,45369.3103353939,14679.9141195935,23932499,204471759
"95","BRA_AUS","BRA","AUS",2020,76,36,6958,0,0,0,13371.76,0,0,0,46255.9119868882,13687.4053297463,25499881,212559409
"96","BRB_AUS","BRB","AUS",2000,52,36,1,0,1,0,16159.07,0,0,0,36510.1629185009,16127.2301862593,18991434,271511
"97","BRB_AUS","BRB","AUS",2005,52,36,10,0,1,0,16159.07,0,0,0,40542.4981461435,16813.8229119507,20178543,276320
"98","BRB_AUS","BRB","AUS",2010,52,36,9,0,1,0,16159.07,0,0,0,42588.4509885439,16619.9020301081,22154687,282131
"99","BRB_AUS","BRB","AUS",2015,52,36,16,0,1,0,16159.07,0,0,0,45369.3103353939,16303.1187710081,23932499,285327
"100","BRB_AUS","BRB","AUS",2020,52,36,14,0,1,0,16159.07,0,0,0,46255.9119868882,13945.37092358,25499881,287371
"101","BRN_AUS","BRN","AUS",2000,96,36,15,0,0,0,5756.495,0,0,0,36510.1629185009,88858.7174344982,18991434,333166
"102","BRN_AUS","BRN","AUS",2005,96,36,192,0,0,0,5756.495,0,0,0,40542.4981461435,89934.2561135142,20178543,365112
"103","BRN_AUS","BRN","AUS",2010,96,36,211,0,0,0,5756.495,0,0,0,42588.4509885439,81985.792966669,22154687,388634
"104","BRN_AUS","BRN","AUS",2015,96,36,150,0,0,0,5756.495,0,0,0,45369.3103353939,75867.1109684177,23932499,414914
