"year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
2020,"TUR",0,0,0,0,0,0,0,0
2020,"USA",246920,463078,332895,439137,872934,929169,1016510,4300644
2025,"AUS",31842,117282,182746,64416,132512,183202,205263,917263
2025,"AUT",55431,73310,28926,49868,111347,67594,90360,476836
2025,"BEL",33581,32625,29054,84686,43246,51804,223892,498887
2025,"BGR",0,0,0,0,0,0,0,0
2025,"CAN",69393,139635,236489,108133,198560,489716,318647,1560573
2025,"CHE",30631,44562,42637,78106,102698,105357,129122,533113
2025,"CHL",0,0,0,0,0,0,0,0
2025,"CYP",0,0,0,0,0,0,0,0
2025,"CZE",3328,5080,2058,4690,9858,3955,19604,48573
2025,"DEU",46908,286705,740250,325972,699850,428502,1511865,4040051
2025,"DNK",14514,13634,10793,11273,28673,29376,94843,203106
2025,"ESP",417106,246541,226129,440744,286492,286631,367437,2271080
2025,"EST",0,0,0,0,0,0,0,0
2025,"FIN",22734,6854,6586,15348,7282,8289,15415,82508
2025,"FRA",107278,90222,91882,195018,128085,135683,181226,929396
2025,"GBR",75866,96512,385274,137896,77210,236811,160946,1170516
2025,"GRC",0,0,0,0,0,0,0,0
2025,"HUN",7387,14004,6506,8134,17070,12493,17395,82989
2025,"IRL",2717,3306,2938,5617,7442,7704,8546,38270
2025,"ISL",4932,5686,3546,3019,4931,3787,5021,30922
2025,"ISR",2687,5846,4758,1938,5916,12572,6286,40002
2025,"ITA",194905,150038,245002,196972,161954,55690,87153,1091714
2025,"JPN",167341,476248,212230,92650,128179,137132,493298,1707079
2025,"LTU",0,0,0,0,0,0,0,0
2025,"LUX",5590,11050,21637,14299,15278,19165,39999,127019
2025,"LVA",0,0,0,0,0,0,0,0
2025,"MEX",0,0,0,0,0,0,0,0
2025,"MLT",0,0,0,0,0,0,0,0
2025,"NLD",76662,76242,65879,159582,176019,174690,82780,811854
2025,"NOR",14395,18956,14405,14371,27349,30199,94646,214321
2025,"NZL",87173,53634,76300,35838,70222,88077,105587,516830
2025,"POL",5499,10336,10072,4097,15367,20188,35355,100914
2025,"PRT",76906,53914,24895,68890,37135,38302,46619,346662
2025,"ROU",0,0,0,0,0,0,0,0
2025,"RUS",0,0,0,0,0,0,0,0
2025,"SVK",0,0,0,0,0,0,0,0
2025,"SVN",0,0,0,0,0,0,0,0
2025,"SWE",31725,52012,44870,37238,71503,62369,122325,422042
2025,"TUR",0,0,0,0,0,0,0,0
2025,"USA",507372,766896,616165,697015,1087781,1299890,1037060,6012178
2030,"AUS",30493,110112,167662,60877,126038,172726,193946,861854
2030,"AUT",53385,68213,27232,47052,103279,63114,82333,444608
2030,"BEL",34101,33391,29635,86803,44766,53506,228903,511105
2030,"BGR",0,0,0,0,0,0,0,0
2030,"CAN",62809,126098,213814,97967,181293,445530,293854,1421365
2030,"CHE",29478,42530,40862,74801,97892,100924,122838,509324
2030,"CHL",0,0,0,0,0,0,0,0
2030,"CYP",0,0,0,0,0,0,0,0
2030,"CZE",3362,5275,2305,4992,10750,4439,21719,52842
2030,"DEU",43191,268425,670386,316906,673282,433138,1476933,3882261
2030,"DNK",14502,13406,10416,11167,28194,28878,91702,198266
2030,"ESP",362196,214237,195278,380209,254294,249442,329759,1985415
2030,"EST",0,0,0,0,0,0,0,0
2030,"FIN",22210,6878,6603,14997,7315,8402,15181,81586
2030,"FRA",104162,88158,90686,187854,124614,133782,176210,905465
2030,"GBR",74963,94413,364458,134914,76958,233761,155930,1135396
2030,"GRC",0,0,0,0,0,0,0,0
2030,"HUN",7018,13702,6460,7889,16892,12293,17564,81818
2030,"IRL",2758,3356,2983,5702,7554,7821,8676,38850
2030,"ISL",4885,5402,3638,2926,4736,3937,5107,30630
2030,"ISR",2515,5503,4323,2091,5690,11598,6303,38025
2030,"ITA",185648,146931,235902,188660,160114,54935,84214,1056404
2030,"JPN",166802,476213,212443,91833,127499,137102,492263,1704155
2030,"LTU",0,0,0,0,0,0,0,0
2030,"LUX",5310,10660,21319,13330,15085,18901,38575,123180
2030,"LVA",0,0,0,0,0,0,0,0
2030,"MEX",0,0,0,0,0,0,0,0
2030,"MLT",0,0,0,0,0,0,0,0
2030,"NLD",67661,67972,58430,141758,155424,155910,73714,720869
2030,"NOR",15326,19752,14998,15074,28338,31356,98743,223587
2030,"NZL",81886,51606,72751,33860,66913,84803,100452,492272
2030,"POL",5759,10278,9949,4338,15854,19994,40892,107064
2030,"PRT",71582,50006,23571,62241,33567,34914,42109,317990
2030,"ROU",0,0,0,0,0,0,0,0
2030,"RUS",0,0,0,0,0,0,0,0
2030,"SVK",0,0,0,0,0,0,0,0
2030,"SVN",0,0,0,0,0,0,0,0
2030,"SWE",30818,50517,44185,36763,71371,62622,121715,417990
2030,"TUR",0,0,0,0,0,0,0,0
2030,"USA",493428,770947,641982,668339,1093584,1354942,1059375,6082598
