"","year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
"145",2015,"LUX",1644,2426,8350,5501,2419,4666,22405,47411
"146",2015,"LVA",0,0,0,0,0,0,0,0
"147",2015,"MEX",0,0,0,0,0,0,0,0
"148",2015,"MLT",0,0,0,0,0,0,0,0
"149",2015,"NLD",0,0,0,0,0,0,0,0
"150",2015,"NOR",0,0,0,0,0,0,249828,249828
"151",2015,"NZL",66590,19821,61935,26929,37763,57242,85159,355439
"152",2015,"POL",563,0,0,57,223,116,9519,10478
"153",2015,"PRT",0,0,0,0,0,0,0,0
"154",2015,"ROU",0,0,0,0,0,0,0,0
"155",2015,"RUS",0,0,0,0,0,0,0,0
"156",2015,"SVK",0,0,0,0,0,0,0,0
"157",2015,"SVN",0,0,0,0,0,0,0,0
"158",2015,"SWE",27272,37407,34301,39044,63705,53059,139605,394393
"159",2015,"TUR",0,0,0,0,0,0,0,0
"160",2015,"USA",308155,519991,403382,495963,846897,967712,1118287,4660387
"161",2020,"AUS",13743,133348,273855,38454,125869,182998,229495,997762
"162",2020,"AUT",0,0,0,0,0,0,0,0
"163",2020,"BEL",0,0,0,0,0,0,0,0
"164",2020,"BGR",0,0,0,0,0,0,0,0
"165",2020,"CAN",36381,105150,235479,53144,164569,548392,435122,1578237
"166",2020,"CHE",0,0,0,0,0,0,0,0
"167",2020,"CHL",0,0,0,0,0,0,0,0
"168",2020,"CYP",0,0,0,0,0,0,0,0
"169",2020,"CZE",0,0,0,0,0,0,0,0
"170",2020,"DEU",0,0,0,0,0,0,2826526,2826526
"171",2020,"DNK",9924,5107,9585,9128,20833,21831,135827,212235
"172",2020,"ESP",52335,39750,124299,59344,75082,14272,130166,495248
"173",2020,"EST",0,0,0,0,0,0,0,0
"174",2020,"FIN",20944,6110,7905,14753,7509,7981,24535,89737
"175",2020,"FRA",85704,70272,96867,153851,105741,112987,238730,864152
"176",2020,"GBR",4826,8765,273408,5209,6731,36173,18602,353714
"177",2020,"GRC",0,0,0,0,0,0,0,0
"178",2020,"HUN",0,0,0,0,0,0,0,0
"179",2020,"IRL",1265,2447,1059,3341,8730,7969,11240,36051
"180",2020,"ISL",0,0,0,0,0,0,0,0
"181",2020,"ISR",3987,6380,6033,1645,7085,16003,6175,47308
"182",2020,"ITA",16135,42702,290846,18886,35272,2461,18652,424954
"183",2020,"JPN",141695,566148,249031,65727,100613,127340,564222,1814776
"184",2020,"LTU",0,0,0,0,0,0,0,0
"185",2020,"LUX",1203,2568,19797,4928,1317,3746,14410,47969
"186",2020,"LVA",0,0,0,0,0,0,0,0
"187",2020,"MEX",0,0,0,0,0,0,0,0
"188",2020,"MLT",0,0,0,0,0,0,0,0
"189",2020,"NLD",0,0,0,0,0,0,0,0
"190",2020,"NOR",0,0,0,0,0,0,195807,195807
"191",2020,"NZL",181062,17414,85419,39246,36986,61931,89653,511711
"192",2020,"POL",1026,0,0,25,110,78,8299,9538
"193",2020,"PRT",0,0,0,0,0,0,0,0
"194",2020,"ROU",0,0,0,0,0,0,0,0
"195",2020,"RUS",0,0,0,0,0,0,0,0
"196",2020,"SVK",0,0,0,0,0,0,0,0
"197",2020,"SVN",0,0,0,0,0,0,0,0
"198",2020,"SWE",32202,47989,55910,47775,83149,72099,174478,513602
"199",2020,"TUR",0,0,0,0,0,0,0,0
